id,replicateId,userId,inputImage,outputImage,prompt,createdAt,updatedAt
clfetpy2q00008hoxewsrusei,caugi63grjfhfot46pvr6oiuqq,clf1v9l1t00008hvfsts5p23u,https://upcdn.io/12a1xvS/image/uploads/2023/03/19/messy-livingroom-35SG.jpg?w=600&h=600&fit=max&q=70,https://replicate.delivery/pbxt/aTeSCKBAjB0feoxXfc4cZhj5l4aBUltIGuhZmKIboItpeXIFC/output_1.png,a modern living room,1679195626947,1679195626947
clfetzbsi00048hox3slp5jtc,jvao2em65nce7hflz6aukbfyfe,clf1wjpy2001cjw08wyzrh27l,https://upcdn.io/12a1xvS/image/uploads/2023/03/19/living room-h236.jpg?w=600&h=600&fit=max&q=70,https://replicate.delivery/pbxt/B6udeVT0VxTQTSPv2F5bsTepZMXFeKg8Zuza3SlfeEe0nxQKE/output_1.png,a modern living room,1679196064626,1679196064626
clfeues2l00008h4cizl34qr0,ryu7lwrmrnfpzjfe3f7lti6onu,clf1v9l1t00008hvfsts5p23u,https://upcdn.io/12a1xvS/image/uploads/2023/03/19/3dmodeling-6FZH.png?w=600&h=600&fit=max&q=70,https://replicate.delivery/pbxt/nNuUFFZUvWaYHFaNboEWx2kZeQwfjMlyFSjumCEnJuTvRDpQA/output_1.png,a modern living room,1679196785523,1679196785523
